iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.08728832994279527,0.0,0.07529266273881699,5.732237601252521e-11,2.5705446694632433e-09,PASS,PASS,none,Solve_Succeeded,0.030033750999791664,11,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.734621871101161e-11,3.987480851215435e-11,3.33341273129718e-11,3.33447092188304e-05
2,0.043644164971397635,0.0,0.037575714223812444,1.16097222113698e-10,1.7514538871716933e-08,PASS,PASS,none,Solve_Succeeded,0.03101825399971858,10,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.040125591338575e-11,7.99627586060922e-11,3.3334474103619126e-11,4.479902438008689e-05
3,0.021822082485698818,0.0,0.01872236559877474,4.267042101602225e-11,8.30888797541153e-09,PASS,PASS,none,Solve_Succeeded,0.02729379899938067,9,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2627117476888357e-10,1.607408127955398e-10,3.3334080283363733e-11,3.0643846752417706e-05
4,0.010911041242849409,0.0,0.009303338947444546,1.2589178831345915e-10,2.847941769958877e-08,PASS,PASS,none,Solve_Succeeded,0.02312768599949777,8,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0921016423873804e-10,3.245451632416105e-10,3.3334878021565575e-11,5.9606967826897155e-05
5,0.005455520621424704,0.0,0.003844040553138985,4.554119585441904e-09,3.0382389393975995e-17,PASS,PASS,none,Solve_Succeeded,1.2583737759996438,8,slow,88,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,5.852868914933081e-10
6,0.002727760310712352,0.0,0.0015277798722202571,8.64743290038961e-09,1.0229850116546936e-16,PASS,PASS,none,Solve_Succeeded,1.9737033389992575,7,slow,99,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,1.3885977992905095e-09
7,0.001363880155356176,0.0,0.001105684194577676,4.3683980044395554e-11,1.0586144004536547e-08,PASS,PASS,none,Solve_Succeeded,0.026792753998961416,6,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.885600920371744e-10,2.8689904636514168e-09,3.333426294175041e-11,3.766715308870698e-05
8,0.000681940077678088,0.0,0.0005347370684368106,8.992953365490053e-11,1.123524353657036e-08,PASS,PASS,none,Solve_Succeeded,0.025200091000442626,6,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.386133378128596e-10,6.316609655246544e-09,3.3334273873044095e-11,3.7801076903440016e-05
9,0.000340970038839044,0.0,0.00025660692083429325,4.410197295247678e-10,1.594364819818184e-08,PASS,PASS,none,Solve_Succeeded,0.024866075000318233,6,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.669026719631638e-10,1.5189123928315374e-08,3.333446385695013e-11,4.461406712342555e-05
10,0.000170485019419522,0.0,0.00010026068918313641,8.627192668965625e-09,8.890533208059761e-17,PASS,PASS,none,Solve_Succeeded,1.5234983990012552,5,slow,91,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,3.4434498281406725e-09
